T-number,lower_end_kbp,mean_kbp,upper_end_kbp
1,2.49143672,2.73784255,2.98424838
1.33,3.71736547,4.085017,4.45266853
3,11.63949104,12.7906495,13.94180795
4,17.42788858,19.15152591,20.87516324
5.33,26.0720134,28.65056418,31.22911496
7,38.21813065,41.99794576,45.77776088
9,54.37736016,59.75534083,65.13332151
9.33,57.19559029,62.85229702,68.50900376
12,81.41958875,89.47207555,97.52456235
13,91.09744309,100.1070803,109.1167176
16,121.9101003,133.9671432,146.0241861
17.33,136.3640119,149.8505625,163.3371131
19,155.154237,170.4991615,185.8440861
21,178.5474165,196.2059521,213.8644878
21.33,182.4967977,200.5459315,218.5950654
25,228.035733,250.5887176,273.1417022
25.33,232.2705968,255.2424141,278.2142314
27,254.0400853,279.1649289,304.2897725
28,267.340253,293.7804978,320.2207426
31,308.3825418,338.881914,369.3812863
33.33,341.3915348,375.1555327,408.9195307
36,380.3759361,417.9955342,455.6151323
37,395.284436,434.3785011,473.4725662
37.33,400.2402181,439.8244155,479.4086129
39,425.5889243,467.6801366,509.7713488
41.33,461.6910136,507.3527622,553.0145108
43,488.0791932,536.3507617,584.6223303
48,569.539459,625.8675374,682.1956158
49,586.258322,644.2399143,702.2215065
49.33,591.8059435,650.3362017,708.8664598
52,637.2371717,700.2606282,763.2840848
